Experiment,TimeTrack_Size,Dataset2_3_Size,Dataset,Model,Samples,Train Time (s),Memory Used (MB),Max CPU (%),Avg CPU (%),MAE,MSE,MAPE
Size_5040_756,5040,756,TimeTrack,Transformer,5040,7.0272,64.65,25.76,18.77,0.02372751699886721,0.004772321148487171,7.470135947973844
Size_5040_756,5040,756,TimeTrack,MLP,5040,3.6411,86.42,14.96,12.24,0.015908253938198457,0.0007990337465119128,7.115119691016438
Size_5040_756,5040,756,Dataset2,LSTM,756,1.6325,8.9,23.25,10.7,0.022448393877818808,0.0006510889672092185,29.214629517777674
Size_5040_756,5040,756,Dataset2,GRU,756,1.8618,19.92,22.4,11.4,0.022992896960650506,0.0006524548694638579,30.418563170632485
Size_5040_756,5040,756,Dataset2,RNN,756,1.1445,2.36,19.93,12.35,0.015223490193567519,0.0004142033952455196,18.402521903445837
Size_5040_756,5040,756,Dataset2,CNN,756,1.2096,8.0,14.95,10.91,0.01742408849640198,0.000435810688904244,22.43107819438427
Size_5040_756,5040,756,Dataset2,TCN,756,0.7989,13.95,22.43,11.05,0.01908597626582049,0.0005898937264247724,23.083623190527774
Size_5040_756,5040,756,Dataset2,Transformer,756,1.3329,16.39,21.57,13.19,0.021045039271052463,0.0006052940742492796,26.884667117632866
Size_5040_756,5040,756,Dataset2,MLP,756,1.0029,6.75,14.92,9.77,0.013846691110527972,0.0003695143930464354,16.530302541884126
Size_5040_756,5040,756,Dataset3,LSTM,756,4.7433,36.75,24.07,15.04,0.07153159351731694,0.008846412961658261,20.353738777499647
Size_5040_756,5040,756,Dataset3,GRU,756,4.6806,33.31,24.9,15.46,0.06587456704441846,0.00790954054272268,17.07241090651945
Size_5040_756,5040,756,Dataset3,RNN,756,2.1663,16.1,20.75,15.31,0.06393168180861106,0.007353100413325306,16.98206863568549
Size_5040_756,5040,756,Dataset3,CNN,756,1.5771,6.9,14.08,11.19,0.0654413023444368,0.007597880777442206,17.3833293482926
Size_5040_756,5040,756,Dataset3,TCN,756,2.3612,18.95,22.4,16.33,0.06727653498537937,0.007714767182605968,18.014663992756255
Size_5040_756,5040,756,Dataset3,Transformer,756,2.7758,21.65,21.53,15.57,0.14121683079766542,0.026828447268369502,37.07828504965362
Size_5040_756,5040,756,Dataset3,MLP,756,1.5062,0.92,14.95,10.5,0.06088236894939437,0.006601581190611447,16.460076820910757
Size_5670_851,5670,851,TimeTrack,LSTM,5670,16.4875,44.69,24.88,18.0,0.0064177289826127335,9.772684756411649e-05,3.3925561696334934
Size_5670_851,5670,851,TimeTrack,GRU,5670,5.6343,42.75,382.69,23.47,0.006310482761716464,9.703371778718898e-05,3.297678083792558
Size_5670_851,5670,851,TimeTrack,RNN,5670,6.8956,8.45,24.09,19.48,0.006641839416977246,0.00010329329654199977,3.5059804572145783
Size_5670_851,5670,851,TimeTrack,CNN,5670,7.2114,7.29,17.43,13.93,0.006409339090270234,9.667727840478315e-05,3.3785304985864872
Size_5670_851,5670,851,TimeTrack,TCN,5670,5.0174,19.59,25.76,20.51,0.006460161943599631,9.710714334998531e-05,3.4240213653555402
Size_5670_851,5670,851,TimeTrack,Transformer,5670,3.744,15.95,25.75,19.23,0.012613477821378432,0.00021791564584228184,6.7767226126340745
